# Generated by scripts/check_doc_drift.sh write-examples-index (@PLN141) — DO NOT EDIT.
# Regenerate: make examples-index    Verified in CI: check_doc_drift.sh examples-index
# Every worked-example tag defined in this repo: where it lives + its git blob link.
# tag	file:line	fn	blob_url
@PAB-001	pluginabi/tests/worked-examples.loft:37	test_a_payload_is_base64_text	https://github.com/loft-lang/loft-libs-plugins/blob/main/pluginabi/tests/worked-examples.loft#L37
@PAB-002	pluginabi/tests/worked-examples.loft:74	test_only_reply_is_ok_classifies_a_reply	https://github.com/loft-lang/loft-libs-plugins/blob/main/pluginabi/tests/worked-examples.loft#L74
@PAB-003	pluginabi/tests/worked-examples.loft:119	test_the_front_door_checks_the_envelope	https://github.com/loft-lang/loft-libs-plugins/blob/main/pluginabi/tests/worked-examples.loft#L119
@PAB-004	pluginabi/tests/pluginabi.loft:154	test_a_whole_plugin_over_frames	https://github.com/loft-lang/loft-libs-plugins/blob/main/pluginabi/tests/pluginabi.loft#L154
